Marca temporal,Escull el teu idioma / Escoge tu idioma / Choose your language,Gènere,Nacionalitat,"Has finalitzat, o estas actualment cursant, estudis superiors STEM?","El teu referent 1 (Pares, mares,tutors,...)ha finalitzat estudis superiors?","En cas afirmatiu, estan aquests enfocats en l’àmbit STEM?","El teu referent 2 (Pares, mares,tutors,...) ha finalitzat estudis superiors?","En cas afirmatiu, estan aquests enfocats en l’àmbit STEM?",Consideres que els estudis d’algun del teus referents o d’amdós t’han condicionat a l’hora d’escollir els teus estudis superiors?,Género,Nacionalidad,"¿Has finalizado, o estás actualmente cursando, estudios superiores STEM?","¿Tu referente 1 (Padres, madres,tutores...) ha finalizado estudios superiores?","En caso afirmativo, ¿pertenecen al ámbito STEM?","¿Tu referente 2 (padres,madres,tutores...) ha finalizado estudios superiores?","En caso afirmativo, ¿pertenecen al ámbito STEM?",¿Consideras que los estudios de alguno de tus referentes o de ambos te han condicionado a la hora de escoger tus estudios superiores?,Gender,Nationality,"Have you completed, or are you currently pursuing, STEM higher education?",Has your first mentor (Fathers/mothers/tutors) completed their higher education?,"If so, are the studies STEM-focused?",Has your second mentor (Fathers/mothers/tutors) completed their higher education?,"If so, are the studies STEM-focused?",Do you consider that your mentors’ studies have influenced you when choosing your career? 
4/12/2020 15:53:46,Esp,Mujer,Española,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 16:18:20,Esp,Mujer,Española,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
4/12/2020 16:20:19,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 16:24:29,Esp,Mujer,Española,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 16:25:59,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 16:26:30,Cat,Dona,Espanyola,Sí,Sí,No,No,,Sí,,,,,,,,,,,,,,,,
4/12/2020 16:31:20,Esp,Mujer,Española,No,No,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 16:33:11,Esp,Mujer,Española,Sí,Sí,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 16:34:40,Esp,Mujer,Española,No,No,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 16:37:30,Esp,Mujer,Española,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
4/12/2020 16:38:47,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 16:40:42,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 16:47:11,Cat,Dona,Espanyola,Sí,Sí,No,No,,Sí,,,,,,,,,,,,,,,,
4/12/2020 16:59:05,Cat,Dona,Espanyola,Sí,Sí,Sí,No,,Sí,,,,,,,,,,,,,,,,
4/12/2020 17:05:30,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 17:06:15,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,No,,,,,,,,,,,,,,,,
4/12/2020 17:09:13,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
4/12/2020 17:12:46,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 17:24:43,Cat,Dona,Espanyola,Sí,No,No,Sí,Sí,No,,,,,,,,,,,,,,,,
4/12/2020 17:30:40,Cat,Dona,Espanyola,Sí,Sí,No,Sí,Sí,No,,,,,,,,,,,,,,,,
4/12/2020 17:44:44,Cat,Dona,Espanyola,Sí,Sí,Sí,No,,No,,,,,,,,,,,,,,,,
4/12/2020 17:50:56,Esp,Mujer,Española,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 17:56:57,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 17:57:37,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 18:10:37,Cat,Dona,Andorrana,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 18:18:43,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 18:23:22,Cat,Dona,Espanyola,Sí,Sí,No,Sí,No,Sí,,,,,,,,,,,,,,,,
4/12/2020 18:24:57,Cat,Home,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 18:39:14,Esp,Mujer,Española,Sí,Sí,Sí,No,,Sí,,,,,,,,,,,,,,,,
4/12/2020 18:42:32,Cat,Dona,Espanyola,Sí,No,,No,,Sí,,,,,,,,,,,,,,,,
4/12/2020 18:44:48,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 18:46:50,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 18:56:50,Cat,Dona,Espanyola,Sí,No,,Sí,No,No,,,,,,,,,,,,,,,,
4/12/2020 19:08:39,Cat,Dona,Espanyola,Sí,No,No,No,,No,,,,,,,,,,,,,,,,
4/12/2020 19:12:09,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 19:33:51,Cat,Home,Espanyola,No,Sí,No,No,,No,,,,,,,,,,,,,,,,
4/12/2020 19:37:58,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
4/12/2020 19:42:13,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 20:05:34,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 20:21:14,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 20:23:04,Cat,Dona,Espanyola,Sí,Sí,No,No,,No,,,,,,,,,,,,,,,,
4/12/2020 20:25:15,Cat,No-Binari,Espanyola,Sí,Sí,Sí,Sí,Sí,No,,,,,,,,,,,,,,,,
4/12/2020 20:26:55,Cat,Dona,Espanyola,Sí,Sí,No,Sí,Sí,Sí,,,,,,,,,,,,,,,,
4/12/2020 20:29:41,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 20:35:41,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 20:36:46,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
4/12/2020 20:43:31,Cat,Dona,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
4/12/2020 20:45:48,Cat,Home,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 20:51:19,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 20:53:42,Esp,Mujer,Española,Sí,No,,,,No,,,,,,,,,,,,,,,,
4/12/2020 21:08:18,Esp,Mujer,Argentina,Sí,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,
4/12/2020 21:10:30,Cat,Dona,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
4/12/2020 21:16:09,Esp,Mujer,Española,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
4/12/2020 21:25:36,Cat,Dona,Espanyola,Sí,Sí,No,No,,No,,,,,,,,,,,,,,,,
4/12/2020 21:27:19,Cat,Dona,Espanyola,No,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 21:36:30,Esp,Mujer,Española,Sí,Sí,Sí,Sí,Sí,No,,,,,,,,,,,,,,,,
4/12/2020 21:38:31,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
4/12/2020 21:54:35,Cat,Dona,Espanyola,Sí,No,No,No,,Sí,,,,,,,,,,,,,,,,
4/12/2020 21:57:44,Cat,Dona,Espanyola,Sí,No,,Sí,No,No,,,,,,,,,,,,,,,,
4/12/2020 22:00:46,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 22:02:05,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 22:07:13,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 22:10:05,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
4/12/2020 22:12:08,Esp,Mujer,Española,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
4/12/2020 22:25:45,Cat,Dona,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
4/12/2020 22:46:34,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,No,,,,,,,,,,,,,,,,
4/12/2020 22:48:52,Cat,Dona,Espanyola,Sí,Sí,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 22:55:21,Cat,Dona,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
4/12/2020 22:59:09,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 23:06:28,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 23:06:53,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 23:08:51,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 23:26:18,Esp,Mujer,Española,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
5/12/2020 7:02:02,Cat,Dona,Espanyola,Sí,Sí,No,Sí,Sí,Sí,,,,,,,,,,,,,,,,
5/12/2020 7:30:23,Esp,Mujer,Española,No,Sí,Sí,No,,No,,,,,,,,,,,,,,,,
5/12/2020 7:36:08,Esp,Mujer,Española,No,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
5/12/2020 8:18:19,Cat,Dona,Espanyola,Sí,No,No,No,No,Sí,,,,,,,,,,,,,,,,
5/12/2020 8:19:00,Esp,Mujer,Española,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
5/12/2020 9:07:33,Cat,Dona,Espanyola,No,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
5/12/2020 9:25:43,Esp,Mujer,Española,Sí,No,,No,,No,,,,,,,,,,,,,,,,
5/12/2020 10:00:58,Cat,Home,Espanyola,No,Sí,No,No,,No,,,,,,,,,,,,,,,,
5/12/2020 10:05:05,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,No,,,,,,,,,,,,,,,,
5/12/2020 11:28:19,Cat,Dona,Espanyola,No,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
5/12/2020 13:20:27,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,No,,,,,,,,,,,,,,,,
5/12/2020 14:09:16,Cat,Dona,Espanyola,Sí,Sí,No,No,Sí,Sí,,,,,,,,,,,,,,,,
5/12/2020 17:20:20,Cat,Dona,Catalana,Sí,No,,No,,No,,,,,,,,,,,,,,,,
5/12/2020 20:00:05,Cat,Dona,Catalana,Sí,Sí,No,No,No,No,,,,,,,,,,,,,,,,
5/12/2020 21:02:33,Cat,Dona,Espanyola,Sí,Sí,Sí,No,,No,,,,,,,,,,,,,,,,
6/12/2020 7:36:40,Cat,Dona,Espanyola,Sí,Sí,Sí,No,,Sí,,,,,,,,,,,,,,,,
6/12/2020 9:40:02,Esp,Mujer,Española,Sí,No,,No,,No,,,,,,,,,,,,,,,,
6/12/2020 15:21:09,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,
6/12/2020 15:25:01,Cat,Dona,Espanyola,Sí,Sí,No,No,,No,,,,,,,,,,,,,,,,
6/12/2020 21:56:41,Cat,Dona,Espanyola,Sí,Sí,Sí,No,,Sí,,,,,,,,,,,,,,,,
7/12/2020 9:14:30,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
7/12/2020 11:14:24,Cat,Dona,Catalana,Sí,Sí,Sí,Sí,Sí,No,,,,,,,,,,,,,,,,
7/12/2020 18:55:47,Eng,Female,India,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,
7/12/2020 21:02:36,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
7/12/2020 22:07:17,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
8/12/2020 10:37:46,Cat,Dona,Espanyola,No,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
8/12/2020 10:37:51,Cat,Dona,Catalana,No,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
8/12/2020 11:00:57,Cat,Dona,Espanyola,Sí,Sí,No,No,No,No,,,,,,,,,,,,,,,,
8/12/2020 11:01:24,Cat,Dona,Espanyola,Sí,No,,Sí,No,No,,,,,,,,,,,,,,,,
8/12/2020 12:06:22,Esp,Mujer,Española,Sí,No,,Sí,No,No,,,,,,,,,,,,,,,,
8/12/2020 13:37:28,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
8/12/2020 13:46:33,Cat,Dona,Espanyola,Sí,Sí,No,No,,No,,,,,,,,,,,,,,,,
8/12/2020 16:44:19,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
8/12/2020 16:48:32,Esp,Mujer,Española,No,No,,No,,No,,,,,,,,,,,,,,,,
8/12/2020 16:49:49,Cat,Dona,Espanyola,Sí,Sí,No,Sí,Sí,Sí,,,,,,,,,,,,,,,,
8/12/2020 16:51:02,Esp,Mujer,Española,No,No,,No,,Sí,,,,,,,,,,,,,,,,
8/12/2020 16:52:08,Esp,Mujer,Española,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
8/12/2020 16:57:48,Cat,Dona,Espanyola,No,No,,No,,No,,,,,,,,,,,,,,,,
8/12/2020 16:59:41,Cat,Dona,Espanyola,Sí,Sí,No,No,,No,,,,,,,,,,,,,,,,
8/12/2020 17:10:08,Cat,Dona,Espanyola,Sí,Sí,No,No,,No,,,,,,,,,,,,,,,,
8/12/2020 18:48:17,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
8/12/2020 18:50:42,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
8/12/2020 18:58:05,Cat,Dona,Espanyola,Sí,No,No,Sí,Sí,No,,,,,,,,,,,,,,,,
8/12/2020 19:39:12,Cat,Dona,Espanyola,Sí,Sí,No,No,,Sí,,,,,,,,,,,,,,,,
8/12/2020 19:48:52,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
8/12/2020 19:53:50,Cat,Dona,Espanyola,Sí,Sí,Sí,No,,No,,,,,,,,,,,,,,,,
8/12/2020 21:09:36,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,No,,,,,,,,,,,,,,,,
8/12/2020 21:12:49,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
8/12/2020 21:55:37,Cat,Dona,Espanyola,Sí,Sí,No,No,No,No,,,,,,,,,,,,,,,,
8/12/2020 22:34:46,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
9/12/2020 0:43:49,Cat,Dona,Espanyola,Sí,Sí,No,No,No,Sí,,,,,,,,,,,,,,,,
9/12/2020 8:54:59,Cat,Dona,Espanyola,No,No,,No,,No,,,,,,,,,,,,,,,,
9/12/2020 10:27:40,Cat,Dona,Espanyola,No,No,No,No,,No,,,,,,,,,,,,,,,,
9/12/2020 10:46:48,Cat,Dona,Espanyola,Sí,Sí,No,No,,Sí,,,,,,,,,,,,,,,,
9/12/2020 10:51:28,Esp,Mujer,Española,No,Sí,No,Sí,Sí,Sí,,,,,,,,,,,,,,,,
9/12/2020 13:04:59,Cat,Dona,Espanyola,Sí,Sí,Sí,No,,Sí,,,,,,,,,,,,,,,,
9/12/2020 14:21:53,Esp,Mujer,Española,Sí,Sí,No,No,,No,,,,,,,,,,,,,,,,
11/12/2020 18:23:31,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
12/12/2020 10:00:30,Cat,Dona,Espanyola,Sí,Sí,Sí,No,No,Sí,,,,,,,,,,,,,,,,
12/12/2020 12:30:20,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
12/12/2020 14:58:39,Cat,Dona,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
13/12/2020 11:06:37,Cat,Dona,Espanyola,Sí,Sí,Sí,No,,No,,,,,,,,,,,,,,,,
14/12/2020 14:38:21,Eng,Female,Indian,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,
14/12/2020 14:49:51,Esp,Mujer,Española,Sí,Sí,Sí,No,No,Sí,,,,,,,,,,,,,,,,
14/12/2020 17:48:10,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,No,,,,,,,,,,,,,,,,
14/12/2020 17:53:52,Cat,Dona,Espanyola,Sí,Sí,Sí,No,,Sí,,,,,,,,,,,,,,,,
14/12/2020 19:47:54,Cat,Dona,Espanyola,No,Sí,No,No,No,No,,,,,,,,,,,,,,,,
14/12/2020 19:49:35,Esp,Mujer,Española,Sí,Sí,Sí,No,,No,,,,,,,,,,,,,,,,
14/12/2020 20:07:54,Cat,Home,Espanyola,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
14/12/2020 20:09:19,Esp,Hombre,Española,Sí,Sí,Sí,No,,No,,,,,,,,,,,,,,,,
14/12/2020 20:13:48,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
14/12/2020 20:24:58,Esp,Mujer,Española,Sí,No,,No,,No,,,,,,,,,,,,,,,,
14/12/2020 20:48:42,Esp,Mujer,Española,No,Sí,No,No,,Sí,,,,,,,,,,,,,,,,
15/12/2020 10:57:33,Cat,Dona,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
15/12/2020 11:34:07,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
15/12/2020 13:42:02,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
15/12/2020 16:06:20,Esp,Mujer,Española,Sí,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,
15/12/2020 16:07:23,Esp,Mujer,Española,Sí,No,,No,,No,,,,,,,,,,,,,,,,
15/12/2020 16:38:00,Cat,Dona,Espanyola,No,No,,Sí,No,No,,,,,,,,,,,,,,,,
15/12/2020 17:05:25,Esp,Hombre,Española,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
15/12/2020 17:08:57,Cat,Dona,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
15/12/2020 17:16:19,Cat,Home,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
15/12/2020 17:39:14,Esp,Mujer,Española,No,No,,No,,No,,,,,,,,,,,,,,,,
15/12/2020 18:54:25,Esp,Hombre,Española,Sí,Sí,No,No,No,No,,,,,,,,,,,,,,,,
15/12/2020 19:03:53,Cat,Home,Espanyola,Sí,Sí,No,No,No,No,,,,,,,,,,,,,,,,
15/12/2020 20:17:22,Cat,Home,Espanyola,Sí,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,
15/12/2020 20:30:52,Cat,Home,Catalana,No,No,,No,,Sí,,,,,,,,,,,,,,,,
15/12/2020 20:44:07,Eng,Female,Spanish,No,Yes,No,No,No,Yes,,,,,,,,,,,,,,,,
15/12/2020 20:45:43,Cat,Home,Espanyola,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
15/12/2020 20:51:09,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
15/12/2020 21:04:31,Cat,Dona,Espanyola,No,No,,No,,No,,,,,,,,,,,,,,,,
15/12/2020 21:24:43,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
15/12/2020 21:49:34,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
15/12/2020 21:51:04,Cat,Dona,Espanyola,Sí,No,No,Sí,No,No,,,,,,,,,,,,,,,,
15/12/2020 21:51:18,Esp,Mujer,Española,No,No,,No,,No,,,,,,,,,,,,,,,,
15/12/2020 21:51:42,Cat,Dona,Espanyola,No,Sí,No,Sí,No,Sí,,,,,,,,,,,,,,,,
15/12/2020 21:52:43,Cat,Dona,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
15/12/2020 21:54:50,Cat,No-Binari,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
15/12/2020 22:02:26,Cat,Dona,Espanyola,No,No,No,No,No,No,,,,,,,,,,,,,,,,
15/12/2020 22:06:19,Cat,Home,Espanyola,Sí,Sí,No,No,No,Sí,,,,,,,,,,,,,,,,
15/12/2020 22:38:05,Cat,Dona,Espanyola,Sí,No,No,Sí,No,No,,,,,,,,,,,,,,,,
15/12/2020 22:47:51,Esp,Mujer,Española,No,No,No,No,No,No,,,,,,,,,,,,,,,,
16/12/2020 0:05:11,Esp,Hombre,Española,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
16/12/2020 0:12:21,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
16/12/2020 6:18:51,Esp,Mujer,Española,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
16/12/2020 12:27:03,Esp,Hombre,Española,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
16/12/2020 12:40:13,Eng,Female,Polish,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,
16/12/2020 13:40:09,Cat,Home,Espanyola,No,No,,No,,No,,,,,,,,,,,,,,,,
16/12/2020 16:15:32,Esp,Hombre,Española,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
16/12/2020 16:16:16,Eng,Female,German,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,
16/12/2020 16:17:36,Esp,Hombre,Española,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
16/12/2020 16:54:07,Esp,Hombre,Española,Sí,Sí,No,Sí,No,Sí,,,,,,,,,,,,,,,,
16/12/2020 17:13:14,Eng,Male,Finnish,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,
16/12/2020 20:39:21,Cat,Home,Espanyola,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
16/12/2020 20:40:54,Cat,Home,Espanyola,No,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
16/12/2020 20:45:28,Cat,Home,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
16/12/2020 20:57:37,Cat,Home,Espanyola,Sí,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,
16/12/2020 20:58:28,Cat,Home,Espanyola,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
16/12/2020 21:15:10,Cat,Home,Espanyola,Sí,No,Sí,No,No,No,,,,,,,,,,,,,,,,
16/12/2020 21:20:57,Eng,Female,Italy,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,
16/12/2020 21:51:14,Esp,Mujer,Española,No,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
16/12/2020 21:51:39,Eng,Female,German,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,
16/12/2020 22:43:25,Cat,Dona,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
16/12/2020 22:46:28,Esp,Mujer,Española,Sí,Sí,No,No,No,No,,,,,,,,,,,,,,,,
17/12/2020 10:37:32,Cat,Home,Espanyola,Sí,Sí,No,,,No,,,,,,,,,,,,,,,,
17/12/2020 20:44:11,Cat,Dona,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
20/12/2020 9:48:06,Esp,Mujer,Española,Sí,Sí,No,No,,No,,,,,,,,,,,,,,,,
20/12/2020 12:09:04,Esp,Mujer,Española,No,Sí,Sí,Sí,Sí,No,,,,,,,,,,,,,,,,
20/12/2020 13:16:43,Esp,Hombre,Española,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
20/12/2020 20:42:26,Cat,Dona,Espanyola,Sí,Sí,No,Sí,Sí,Sí,,,,,,,,,,,,,,,,
20/12/2020 20:45:57,Cat,Dona,Espanyola,No,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
